STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,42,43,43,49,39,50,,,,,,,,,42,54,44,37,46,46,51,40,36,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,43,40,38,50,38,44,,,,,,,,,42,55,44,38,41,44,48,40,36,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,42,35,51,43,45,,,,,,,,,42,50,49,43,40,42,49,38,35,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,42,32,48,45,47,,,,,,,,,39,51,52,44,43,41,48,41,35,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,39,36,30,46,41,48,,,,,,,,,45,48,53,45,47,43,47,42,37,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,43,42,30,44,51,45,,,,,,,,,48,45,47,43,49,43,48,43,41,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,43,42,37,51,45,46,,,,,,,,,46,41,42,44,44,42,46,44,45,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,44,43,39,50,40,48,,,,,,,,,44,40,40,41,42,44,51,47,42,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,45,43,42,46,41,45,,,,,,,,,43,43,41,36,44,48,53,46,39,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,42,42,42,46,42,52,,,,,,,,,40,46,41,38,48,47,39,45,37,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,50,42,42,43,44,45,,,,,,,,,39,48,43,37,49,41,38,42,43,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,48,46,41,41,42,46,,,,,,,,,34,45,44,41,51,29,35,44,44,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,46,41,40,38,39,40,,,,,,,,,29,50,46,39,49,27,43,48,44,45
