STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-17,35,43,24,42,38,48,33,44,48,44,49,53,43,50,38,41,42,42,37,42,49,35,45,53,44,49,47,52,49,55,53,50,41,51,43,54,41,51,47,40,45,49,48,52,44,46,50,43,41,47,50,46,49,40,40,50,48,54,53,39,41,44,52,50,38,39,42,56,49,49,56,57,42,51,48,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-18,33,35,25,40,43,52,32,50,48,39,45,48,43,55,36,42,39,42,44,42,53,35,52,55,48,51,53,52,47,57,54,47,38,59,42,53,37,46,57,40,46,50,47,53,44,44,43,52,41,51,57,48,41,43,41,49,47,60,46,44,42,51,59,42,32,38,49,57,52,53,52,53,51,49,47,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-19,34,35,42,40,44,51,28,41,47,33,44,46,37,60,30,38,45,50,41,46,52,37,52,53,50,43,44,48,49,50,55,45,44,58,44,50,40,48,51,44,45,49,48,45,54,42,41,54,38,53,50,47,44,48,43,47,52,62,47,42,42,42,60,45,30,34,43,50,47,50,46,51,54,45,50,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-20,36,30,48,42,38,50,28,41,47,35,43,41,45,58,28,40,42,48,39,46,59,36,55,41,53,44,42,48,46,46,52,53,40,64,47,46,40,46,46,46,49,46,49,46,50,51,42,57,44,48,46,52,47,48,45,46,45,54,46,45,41,39,57,44,45,38,50,50,50,52,49,47,53,47,52,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-21,48,35,48,43,35,46,40,44,46,33,45,41,46,52,33,36,40,47,43,42,56,31,55,40,50,46,42,44,52,52,50,44,47,62,41,44,46,40,47,40,47,46,46,47,49,44,52,58,42,45,43,45,48,45,40,44,44,61,49,42,39,40,56,49,47,36,50,45,53,54,51,47,53,46,48,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-22,47,33,45,44,34,50,37,50,51,34,46,48,46,37,37,42,36,43,42,46,49,29,54,44,48,41,47,46,46,41,46,41,48,60,44,47,49,45,46,47,45,40,46,39,48,43,56,59,41,45,48,43,46,53,41,51,47,55,51,50,41,39,48,49,44,38,49,49,55,49,47,49,50,46,44,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-23,47,30,36,41,37,54,36,48,44,33,51,48,42,42,37,45,41,42,42,42,55,29,52,44,43,52,48,53,45,40,44,46,43,48,54,53,50,41,47,47,46,39,48,40,52,37,52,55,41,44,52,43,46,56,44,54,47,56,55,52,44,41,49,46,47,45,50,54,46,48,48,51,55,43,38,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-24,45,29,26,54,46,49,33,47,41,28,49,51,47,47,44,36,48,45,39,46,56,30,46,43,35,47,50,45,40,39,48,44,43,47,49,55,52,45,48,47,42,37,47,45,56,52,49,58,37,42,53,44,51,48,44,52,44,57,56,51,46,41,46,48,50,45,55,58,50,43,49,47,52,41,39,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-25,46,39,24,53,51,45,39,47,42,25,51,52,48,49,47,44,46,40,51,46,39,30,44,47,26,42,48,42,42,49,44,43,40,47,51,54,51,44,58,47,48,49,46,46,55,52,48,53,38,34,54,42,48,48,43,55,42,50,52,43,42,35,54,50,48,51,54,63,55,44,44,50,52,44,44,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-26,45,31,35,43,49,40,36,47,38,28,54,50,48,56,49,38,45,47,51,51,41,27,43,52,28,40,43,39,48,46,46,39,33,47,46,55,50,35,56,47,44,50,40,45,49,53,46,58,39,34,52,40,44,50,38,58,45,50,48,44,39,39,48,54,48,47,47,61,56,47,42,51,54,43,39,44
